cpu_ns,fpga_ns
588111,2840
28640,2840
23114,2840
22160,2840
21988,2840
21932,2840
21865,2840
21907,2840
21698,2840
22375,2840
21914,2840
21975,2840
22043,2840
21914,2840
21674,2840
22031,2840
21920,2840
22529,2840
22055,2840
22437,2840
22172,2840
21342,2840
21773,2840
22178,2840
21963,2840
22671,2840
21649,2840
21920,2840
21655,2840
21532,2840
21778,2840
21649,2840
21194,2840
21711,2840
21883,2840
21471,2840
21496,2840
21607,2840
22148,2840
21871,2840
21889,2840
21902,2840
21292,2840
21255,2840
21938,2840
22400,2840
21514,2840
21501,2840
21976,2840
21477,2840
21895,2840
21181,2840
21570,2840
21877,2840
21723,2840
21944,2840
21748,2840
22307,2840
22327,2840
22024,2840
21716,2840
21736,2840
21483,2840
21582,2840
21963,2840
22345,2840
22203,2840
21827,2840
21815,2840
21662,2840
21489,2840
21563,2840
21440,2840
21594,2840
21483,2840
22080,2840
21951,2840
22670,2840
21464,2840
21502,2840
21735,2840
21803,2840
21877,2840
21551,2840
21717,2840
21760,2840
21631,2840
21926,2840
21969,2840
21852,2840
21957,2840
22141,2840
21556,2840
21896,2840
22074,2840
21582,2840
21717,2840
21557,2840
22461,2840
21613,2840
21618,2840
21828,2840
21391,2840
21539,2840
21840,2840
21058,2840
21852,2840
22222,2840
21742,2840
22665,2840
21803,2840
22548,2840
21539,2840
21717,2840
21902,2840
21988,2840
21569,2840
21859,2840
21261,2840
21114,2840
21576,2840
21871,2840
21305,2840
21803,2840
21464,2840
21329,2840
21668,2840
21686,2840
21563,2840
23926,2840
21717,2840
22111,2840
21705,2840
21877,2840
22049,2840
21957,2840
22234,2840
21655,2840
21539,2840
22067,2840
21742,2840
21613,2840
21981,2840
21207,2840
21951,2840
21772,2840
21545,2840
22080,2840
21797,2840
23828,2840
21680,2840
21680,2840
21637,2840
21797,2840
21846,2840
21920,2840
21858,2840
21742,2840
21736,2840
21662,2840
22098,2840
21828,2840
21963,2840
21914,2840
21717,2840
21908,2840
21520,2840
21754,2840
21754,2840
21846,2840
21729,2840
21458,2840
21784,2840
22702,2840
22203,2840
22584,2840
22689,2840
22794,2840
22898,2840
22462,2840
21680,2840
22240,2840
21612,2840
22344,2840
22295,2840
21624,2840
22326,2840
22012,2840
21816,2840
21587,2840
21680,2840
22123,2840
21698,2840
21772,2840
21871,2840
21852,2840
21871,2840
21729,2840
21871,2840
21994,2840
21569,2840
24167,2840
22628,2840
22043,2840
22431,2840
21994,2840
21951,2840
21816,2840
21809,2840
21877,2840
21581,2840
21661,2840
21778,2840
21895,2840
21890,2840
21976,2840
22166,2840
22185,2840
21790,2840
22160,2840
21538,2840
22012,2840
21895,2840
21575,2840
21588,2840
22253,2840
21932,2840
21705,2840
21631,2840
21563,2840
21379,2840
21920,2840
21908,2840
23249,2840
22376,2840
22111,2840
22265,2840
21766,2840
21704,2840
22080,2840
21785,2840
21711,2840
21668,2840
21785,2840
21526,2840
22129,2840
22313,2840
21914,2840
21619,2840
22166,2840
21785,2840
22056,2840
21865,2840
21975,2840
21827,2840
21951,2840
21901,2840
22147,2840
22172,2840
22689,2840
21810,2840
22234,2840
22436,2840
21945,2840
22000,2840
22056,2840
22012,2840
21815,2840
21317,2840
22578,2840
22345,2840
21976,2840
21902,2840
21834,2840
22024,2840
21268,2840
21354,2840
