seq,lob_time,t_send,t_reflex,t_fpga,latency_gap_ns,reflex_act,fpga_score,final_dec
0,34200.004241176,164279881004758,164279881050564,0,-1,WIDEN_SPREADS,0.0,HOLD
1,34200.025551909,164279901102964,164279901151185,0,-1,WIDEN_SPREADS,0.0,HOLD
2,34200.201743336,164279921152449,164279921196422,0,-1,WIDEN_SPREADS,0.0,HOLD
3,34200.201780978,164279941193007,164279941224997,0,-1,WIDEN_SPREADS,0.0,HOLD
4,34200.205573445,164279961233455,164279961266377,0,-1,WIDEN_SPREADS,0.0,HOLD
5,34200.271739507,164279981252673,164279981268323,0,-1,WIDEN_SPREADS,0.0,HOLD
6,34200.271739507,164280001277943,164280001298311,0,-1,NONE,0.0,HOLD
7,34200.275016159,164280021319673,164280021359228,0,-1,WIDEN_SPREADS,0.0,HOLD
8,34200.275016159,164280041358789,164280041393404,0,-1,WIDEN_SPREADS,0.0,HOLD
9,34200.275057494,164280061394167,164280061417361,0,-1,WIDEN_SPREADS,0.0,HOLD
10,34200.275063291,164280081409889,164280081422503,0,-1,WIDEN_SPREADS,0.0,HOLD
11,34200.275072491,164280101433976,164280101449886,0,-1,WIDEN_SPREADS,0.0,HOLD
12,34200.275072491,164280121459376,164280121476739,0,-1,WIDEN_SPREADS,0.0,HOLD
13,34200.275072491,164280141474787,164280141485728,0,-1,WIDEN_SPREADS,0.0,HOLD
14,34200.275072491,164280161497712,164280161513903,0,-1,WIDEN_SPREADS,0.0,HOLD
15,34200.275072491,164280181516139,164280181527420,0,-1,WIDEN_SPREADS,0.0,HOLD
16,34200.275072491,164280201534506,164280201546188,0,-1,WIDEN_SPREADS,0.0,HOLD
17,34200.275072491,164280221563612,164280221586916,0,-1,WIDEN_SPREADS,0.0,HOLD
18,34200.275072491,164280241594853,164280241612586,0,-1,WIDEN_SPREADS,0.0,HOLD
19,34200.275072491,164280261622487,164280261640020,0,-1,WIDEN_SPREADS,0.0,HOLD
20,34200.275072491,164280281650983,164280281669067,0,-1,WIDEN_SPREADS,0.0,HOLD
21,34200.275072491,164280301668458,164280301680570,0,-1,WIDEN_SPREADS,0.0,HOLD
22,34200.275072491,164280321694098,164280321712893,0,-1,WIDEN_SPREADS,0.0,HOLD
23,34200.275072491,164280341719688,164280341737992,0,-1,WIDEN_SPREADS,0.0,HOLD
24,34200.275072491,164280361744587,164280361760627,0,-1,WIDEN_SPREADS,0.0,HOLD
25,34200.275072491,164280381769135,164280381787189,0,-1,WIDEN_SPREADS,0.0,HOLD
26,34200.275072491,164280401785768,164280401796138,0,-1,WIDEN_SPREADS,0.0,HOLD
27,34200.275123235,164280421811308,164280421828972,0,-1,WIDEN_SPREADS,0.0,HOLD
28,34200.28039589,164280441835907,164280441852187,0,-1,WIDEN_SPREADS,0.0,HOLD
29,34200.347390612,164280461871005,164280461898176,0,-1,WIDEN_SPREADS,0.0,HOLD
30,34200.358687488,164280481907155,164280481934566,0,-1,WIDEN_SPREADS,0.0,HOLD
31,34200.417746832,164280501922476,164280501939548,0,-1,WIDEN_SPREADS,0.0,HOLD
32,34200.417746832,164280521954027,164280521973974,0,-1,WIDEN_SPREADS,0.0,HOLD
33,34200.417746832,164280541965090,164280541973025,0,-1,WIDEN_SPREADS,0.0,HOLD
34,34200.418943908,164280561985450,164280561999667,0,-1,WIDEN_SPREADS,0.0,HOLD
35,34200.418943908,164280581999288,164280582008606,0,-1,WIDEN_SPREADS,0.0,HOLD
36,34200.419089711,164280602018757,164280602032623,0,-1,WIDEN_SPREADS,0.0,HOLD
37,34200.459503459,164280622042013,164280622059556,0,-1,WIDEN_SPREADS,0.0,HOLD
38,34200.610751386,164280642055039,164280642068404,0,-1,WIDEN_SPREADS,0.0,HOLD
39,34200.701389248,164280662076652,164280662094295,0,-1,WIDEN_SPREADS,0.0,HOLD
