overlay,label,metric,samples,cycles_avg,cycles_median,cycles_min,cycles_max,cycles_stdev,latency_avg_ns,latency_avg_us
full,delay_cycles=0 num_words=8,MLP_timer,50,426046.900,407004.500,87914,1344351,141722.500,3408375.200,3408.375
full,delay_cycles=1000 num_words=8,MLP_timer,50,455790.800,413198.000,396435,1357895,186578.100,3646326.400,3646.326
full,delay_cycles=10000 num_words=8,MLP_timer,50,466212.800,408300.500,396622,1424678,208442.100,3729702.400,3729.702
full,delay_cycles=100000 num_words=8,MLP_timer,50,480812.300,405896.000,397334,1848059,273255.000,3846498.400,3846.498
full,delay_cycles=0 num_words=0,MLP_timer,50,472370.400,411675.500,396450,1376747,227373.200,3778963.200,3778.963
full,delay_cycles=0 num_words=4,MLP_timer,50,457858.700,415126.500,395023,1374975,189720.300,3662869.600,3662.870
full,delay_cycles=0 num_words=8,MLP_timer,50,483962.600,422258.500,395889,1430417,237451.600,3871700.800,3871.701
full,delay_cycles=0 num_words=16,MLP_timer,32,290371.000,144668.500,127854,1364133,243959.600,2322968.000,2322.968
full,TRACE summary delay_cycles=0 num_words=8,TRACE,19,2205634.800,187796.000,173763,38435467,8773464.900,17645078.400,17645.078
mlp_only,delay_cycles=0 num_words=4 :: TGen,TGen,50,0.000,0.000,0,0,0.000,0.000,0.000
mlp_only,delay_cycles=0 num_words=4 :: MLP,MLP,50,425969.000,392298.000,117907,1312685,183700.400,3407752.000,3407.752
mlp_only,delay_cycles=0 num_words=4 :: MLP_only,MLP_only,50,425969.000,392298.000,117907,1312685,183700.400,3407752.000,3407.752
mlp_only,delay_cycles=1000 num_words=4 :: TGen,TGen,50,0.000,0.000,0,0,0.000,0.000,0.000
mlp_only,delay_cycles=1000 num_words=4 :: MLP,MLP,50,415149.200,391121.500,383165,1292695,128447.700,3321193.600,3321.194
mlp_only,delay_cycles=1000 num_words=4 :: MLP_only,MLP_only,50,415149.200,391121.500,383165,1292695,128447.700,3321193.600,3321.194
mlp_only,delay_cycles=10000 num_words=4 :: TGen,TGen,50,0.000,0.000,0,0,0.000,0.000,0.000
mlp_only,delay_cycles=10000 num_words=4 :: MLP,MLP,50,459743.400,398195.000,382792,1359589,228199.400,3677947.200,3677.947
mlp_only,delay_cycles=10000 num_words=4 :: MLP_only,MLP_only,50,459743.400,398195.000,382792,1359589,228199.400,3677947.200,3677.947
mlp_only,delay_cycles=100000 num_words=4 :: TGen,TGen,50,0.000,0.000,0,0,0.000,0.000,0.000
mlp_only,delay_cycles=100000 num_words=4 :: MLP,MLP,50,455264.400,409973.000,384759,1413328,195942.900,3642115.200,3642.115
mlp_only,delay_cycles=100000 num_words=4 :: MLP_only,MLP_only,50,455264.400,409973.000,384759,1413328,195942.900,3642115.200,3642.115
mlp_only,delay_cycles=0 num_words=0 :: TGen,TGen,50,0.000,0.000,0,0,0.000,0.000,0.000
mlp_only,delay_cycles=0 num_words=0 :: MLP,MLP,50,434832.100,390360.500,381998,1379920,190631.000,3478656.800,3478.657
mlp_only,delay_cycles=0 num_words=0 :: MLP_only,MLP_only,50,434832.100,390360.500,381998,1379920,190631.000,3478656.800,3478.657
mlp_only,delay_cycles=0 num_words=4 :: TGen,TGen,50,0.000,0.000,0,0,0.000,0.000,0.000
mlp_only,delay_cycles=0 num_words=4 :: MLP,MLP,50,438045.200,391768.000,383815,1512389,205910.600,3504361.600,3504.362
mlp_only,delay_cycles=0 num_words=4 :: MLP_only,MLP_only,50,438045.200,391768.000,383815,1512389,205910.600,3504361.600,3504.362
mlp_only,delay_cycles=0 num_words=4 :: TGen,TGen,50,0.000,0.000,0,0,0.000,0.000,0.000
mlp_only,delay_cycles=0 num_words=4 :: MLP,MLP,50,459545.900,394918.000,383985,1400974,232966.400,3676367.200,3676.367
mlp_only,delay_cycles=0 num_words=4 :: MLP_only,MLP_only,50,459545.900,394918.000,383985,1400974,232966.400,3676367.200,3676.367
mlp_only,delay_cycles=0 num_words=16 :: TGen,TGen,1,0.000,0.000,0,0,0.000,0.000,0.000
mlp_only,delay_cycles=0 num_words=16 :: MLP,MLP,1,418856.000,418856.000,418856,418856,0.000,3350848.000,3350.848
mlp_only,delay_cycles=0 num_words=16 :: MLP_only,MLP_only,1,418856.000,418856.000,418856,418856,0.000,3350848.000,3350.848
nodma,delay_cycles=0 num_words=4 :: Fabric,Fabric,50,142970.500,124000.500,95872,998450,123746.000,1143764.000,1143.764
nodma,delay_cycles=0 num_words=4 :: MLP_internal,MLP_internal,50,64.000,64.000,64,64,0.000,512.000,0.512
nodma,delay_cycles=0 num_words=4 :: Overhead,Overhead,50,142906.500,123936.500,95808,998386,123746.000,1143252.000,1143.252
nodma,delay_cycles=1000 num_words=4 :: Fabric,Fabric,50,160273.800,122599.000,120092,1058707,177989.800,1282190.400,1282.190
nodma,delay_cycles=1000 num_words=4 :: MLP_internal,MLP_internal,50,1044.000,1064.000,64,1064,141.400,8352.000,8.352
nodma,delay_cycles=1000 num_words=4 :: Overhead,Overhead,50,159229.800,121535.000,119028,1057643,177990.500,1273838.400,1273.838
nodma,delay_cycles=10000 num_words=4 :: Fabric,Fabric,50,127043.300,121804.500,119490,211209,16191.300,1016346.400,1016.346
nodma,delay_cycles=10000 num_words=4 :: MLP_internal,MLP_internal,50,9884.000,10064.000,1064,10064,1272.800,79072.000,79.072
nodma,delay_cycles=10000 num_words=4 :: Overhead,Overhead,50,117159.300,111740.500,109426,201145,16439.400,937274.400,937.274
nodma,delay_cycles=100000 num_words=4 :: Fabric,Fabric,50,147732.300,122931.500,119606,1046044,131221.500,1181858.400,1181.858
nodma,delay_cycles=100000 num_words=4 :: MLP_internal,MLP_internal,50,98264.000,100064.000,10064,100064,12727.900,786112.000,786.112
nodma,delay_cycles=100000 num_words=4 :: Overhead,Overhead,50,49468.300,22867.500,19542,945980,131696.200,395746.400,395.746
nodma,delay_cycles=0 num_words=0 :: Fabric,Fabric,50,162841.900,122231.000,118996,1081375,188526.300,1302735.200,1302.735
nodma,delay_cycles=0 num_words=0 :: MLP_internal,MLP_internal,50,100064.000,100064.000,100064,100064,0.000,800512.000,800.512
